 694378 304125  338.01877   39   17  350.33298  314.96213  10.1%  37.7 1605s
 696763 304967     cutoff   53       350.33298  314.99497  10.1%  37.6 1610s
 699186 305816  339.66633   51   10  350.33298  315.02159  10.1%  37.6 1615s
 701444 306626     cutoff   53       350.33298  315.04557  10.1%  37.6 1620s
 703871 307525  344.85826   51   17  350.33298  315.06850  10.1%  37.6 1625s
 706045 308208  318.05513   45   20  350.33298  315.09179  10.1%  37.6 1630s
 708507 309007  336.04048   40   15  350.33298  315.12269  10.1%  37.6 1635s
 710797 309829  340.05932   54   10  350.33298  315.14488  10.0%  37.5 1640s
 713057 310593  327.87661   41   15  350.33298  315.17184  10.0%  37.5 1645s
 715534 311486  328.05527   40   14  350.33298  315.20306  10.0%  37.5 1650s
