  4812  4386  104.89755  281  101  962.00000    6.60606  99.3%   891 2140s
  4814  4387  102.00000  282   98  962.00000    6.60606  99.3%   896 2154s
  4816  4388  103.12829  283  101  962.00000    6.60606  99.3%   900 2163s
  4817  4388   87.45455  284  101  962.00000    6.60606  99.3%   901 2169s
  4818  4389   99.84566  284   98  962.00000    6.60606  99.3%   905 2179s
  4819  4388   87.72727  285  100  962.00000    6.60606  99.3%   905 2180s
  4822  4390  108.94415  287   98  962.00000    6.60606  99.3%   909 2192s
  4824  4392  104.29027  288  101  962.00000    6.60606  99.3%   915 2205s
  4826  4393  108.82932  289   99  962.00000    6.60606  99.3%   921 2226s
  4827  4394   88.08808  290  101  962.00000    6.60606  99.3%   923 2231s
  4828  4394   96.72964  290  102  962.00000    6.60606  99.3%   927 2240s
  4834  4393  110.39752  293  101  962.00000    6.60606  99.3%   930 2254s
  4835  4394   89.00000  294  100  962.00000    6.60606  99.3%   930 2255s
  4836  4395  109.46051  294  101  962.00000    6.60606  99.3%   934 2264s
  4837  4395   89.40274  295  100  962.00000    6.60606  99.3%   935 2268s
  4838  4396  100.52854  295  101  962.00000    6.60606  99.3%   940 2279s
  4839  4396   89.70137  296   99  962.00000    6.60606  99.3%   939 2280s
  4843  4396  100.44199  298  101  962.00000    6.60606  99.3%   943 2290s
  4844  4397   90.05724  299  100  962.00000    6.60606  99.3%   944 2295s
  4845  4398   98.19917  299  101  962.00000    6.60606  99.3%   946 2301s
  4848  4398   91.00000  301   97  962.00000    6.60606  99.3%   947 2305s
  4851  4397   94.49797  302  101  962.00000    6.60606  99.3%   950 2314s
  4852  4397   91.00000  303   98  962.00000    6.60606  99.3%   950 2315s
  4853  4398  106.00000  303   97  962.00000    6.60606  99.3%   954 2325s
  4855  4398  107.76752  304  101  962.00000    6.60606  99.3%   957 2334s
  4856  4399   91.06926  305   99  962.00000    6.60606  99.3%   958 2335s
  4857  4400  109.03514  305  101  962.00000    6.60606  99.3%   960 2343s
  4860  4399   91.65657  307   99  962.00000    6.60606  99.3%   961 2348s
  4861  4399  113.00000  307   97  962.00000    6.60606  99.3%   965 2356s
  4864  4400   99.36970  309   99  962.00000    6.60606  99.3%   967 2362s
  4865  4401   92.60995  310  101  962.00000    6.60606  99.3%   968 2365s
  4866  4402   96.35235  310  100  962.00000    6.60606  99.3%   970 2371s
  4870  4401   93.00000  313  101  962.00000    6.60606  99.3%   972 2377s
  4871  4402  104.05483  313  100  962.00000    6.60606  99.3%   976 2390s
  4873  4402  100.00000  314   99  962.00000    6.60606  99.3%   979 2400s
  4878  4404  106.82888  317   99  962.00000    6.60606  99.3%   984 2411s
  4879  4404   94.55051  318  102  962.00000    6.60606  99.3%   985 2416s
  4880  4405   94.80267  318  101  962.00000    6.60606  99.3%   987 2420s
  4886  4404  106.51428  321  101  962.00000    6.60606  99.3%   989 2429s
  4887  4405   95.00000  322  101  962.00000    6.60606  99.3%   990 2432s
  4888  4405  107.00000  322   97  962.00000    6.60606  99.3%   993 2440s
  4890  4406  106.81626  323  100  962.00000    6.60606  99.3%   997 2450s
  4894  4406  116.00000  325   97  962.00000    6.60606  99.3%  1002 2464s
  4896  4406 infeasible  326       962.00000    6.60606  99.3%  1001 2465s
  4898  4406  101.36303  327  101  962.00000    6.60606  99.3%  1004 2474s
  4899  4407   96.00000  328   99  962.00000    6.60606  99.3%  1005 2477s
  4900  4407  115.51263  328  100  962.00000    6.60606  99.3%  1011 2491s
  4902  4408  101.21212  329   99  962.00000    6.60606  99.3%  1014 2498s
  4906  4409  106.09091  332   98  962.00000    6.60606  99.3%  1015 2503s
  4907  4409   97.61754  333  101  962.00000    6.60606  99.3%  1015 2505s
  4908  4409  106.36151  333  100  962.00000    6.60606  99.3%  1019 2514s
  4911  4410   98.00000  336  100  962.00000    6.60606  99.3%  1019 2515s
  4912  4409  108.73090  336  101  962.00000    6.60606  99.3%  1023 2527s
  4913  4410   98.00000  337  100  962.00000    6.60606  99.3%  1023 2530s
  4914  4411  106.00000  337   98  962.00000    6.60606  99.3%  1026 2537s
  4916  4412  109.21998  338  100  962.00000    6.60606  99.3%  1028 2541s
  4922  4412  117.00000  341   97  962.00000    6.60606  99.3%  1032 2555s
  4924  4413  113.00000  342   97  962.00000    6.60606  99.3%  1036 2565s
  4926  4414  105.99478  343  100  962.00000    6.60606  99.3%  1039 2571s
  4928  4415  125.00000  344   97  962.00000    6.60606  99.3%  1042 2579s
  4929  4416   99.00000  345   99  962.00000    6.60606  99.3%  1042 2580s
  4930  4416  112.06405  345  101  962.00000    6.60606  99.3%  1046 2589s
  4931  4417   99.00000  346   99  962.00000    6.60606  99.3%  1045 2590s
  4932  4417  124.98316  346  101  962.00000    6.60606  99.3%  1051 2604s
  4933  4417   99.08026  347  101  962.00000    6.60606  99.3%  1052 2609s
  4934  4418  116.00000  347   96  962.00000    6.60606  99.3%  1055 2617s
  4939  4417  100.00000  350  101  962.00000    6.60606  99.3%  1056 2620s
  4940  4418  111.03093  350  100  962.00000    6.60606  99.3%  1058 2627s
  4942  4419  115.00000  351   96  962.00000    6.60606  99.3%  1061 2634s
  4943  4420  100.00000  352  101  962.00000    6.60606  99.3%  1062 2639s
  4944  4421  110.78689  352   99  962.00000    6.60606  99.3%  1066 2648s
  4945  4421  100.28137  353  102  962.00000    6.60606  99.3%  1066 2651s
  4951  4422  124.00000  356   96  962.00000    6.60606  99.3%  1071 2665s
  4953  4424  115.82828  357   97  962.00000    6.60606  99.3%  1074 2672s
  4955  4425  106.58014  358  102  962.00000    6.60606  99.3%  1077 2682s
  4957  4426  117.00000  359   97  962.00000    6.60606  99.3%  1081 2692s
  4958  4427  101.00000  360  100  962.00000    6.60606  99.3%  1082 2695s
  4959  4427  110.90976  360  100  962.00000    6.60606  99.3%  1085 2703s
  4960  4426  101.41830  361  102  962.00000    6.60606  99.3%  1086 2706s
  4961  4426  115.51914  361  100  962.00000    6.60606  99.3%  1091 2719s
  4964  4427  102.00000  364   99  962.00000    6.60606  99.3%  1091 2720s
  4966  4427  102.46465  365  100  962.00000    6.60606  99.3%  1094 2730s
  4967  4428  110.00000  365   97  962.00000    6.60606  99.3%  1098 2738s
  4971  4429  103.00000  368  100  962.00000    6.60606  99.3%  1098 2740s
  4972  4429  121.18776  368  100  962.00000    6.60606  99.3%  1102 2750s
  4974  4431  124.00000  369   97  962.00000    6.60606  99.3%  1105 2759s
  4975  4431  103.00000  370  101  962.00000    6.60606  99.3%  1105 2761s
  4976  4432  125.90909  370   98  962.00000    6.60606  99.3%  1109 2769s
  4977  4433  103.00000  371  101  962.00000    6.60606  99.3%  1109 2771s
  4978  4433  125.40255  371  102  962.00000    6.60606  99.3%  1114 2782s
  4979  4434  103.34015  372  102  962.00000    6.60606  99.3%  1114 2785s
