 688000 437409  172.71096   55   15  184.70000  165.64629  10.3%  32.8 1190s
 691284 439309  183.30000   56   14  184.70000  165.65781  10.3%  32.7 1195s
 694658 441210  168.68051   59   18  184.70000  165.67038  10.3%  32.7 1200s
 697850 443009  183.74934   62   19  184.70000  165.68352  10.3%  32.7 1205s
 700982 444775  175.87385   67   20  184.70000  165.69580  10.3%  32.7 1210s
 704087 446425  169.79399   66   23  184.70000  165.70882  10.3%  32.7 1215s
 707512 448376  174.40036   69   17  184.70000  165.72272  10.3%  32.7 1220s
 710624 450171  178.13542   68   10  184.70000  165.73574  10.3%  32.7 1225s
 713823 451885  184.23333   60    8  184.70000  165.74991  10.3%  32.7 1230s
 717068 453638  175.98694   64   15  184.70000  165.76250  10.3%  32.7 1235s
 720206 455382  184.11039   53   16  184.70000  165.77172  10.2%  32.7 1240s
 723360 457111  166.25357   48   22  184.70000  165.78417  10.2%  32.7 1245s
 726821 459096  169.23805   50   16  184.70000  165.79622  10.2%  32.7 1250s
 729848 460805  180.98750   72   14  184.70000  165.80729  10.2%  32.6 1255s
 733283 462770     cutoff   89       184.70000  165.82083  10.2%  32.6 1260s
 736545 464607  175.51538   59   20  184.70000  165.83398  10.2%  32.6 1265s
 739856 466460  181.33938   48   15  184.70000  165.84720  10.2%  32.6 1270s
 743141 468282  176.93498   67   17  184.70000  165.85796  10.2%  32.6 1275s
 746337 470098  168.82618   54   18  184.70000  165.87022  10.2%  32.6 1280s
 749710 471992  168.46098   51   15  184.70000  165.88237  10.2%  32.6 1285s
 752991 473832  176.65907   67   17  184.70000  165.89261  10.2%  32.6 1290s
 756222 475526  178.42708   51   15  184.70000  165.90476  10.2%  32.6 1295s
 759333 477266  175.74941   70   14  184.70000  165.91604  10.2%  32.6 1300s
 762720 479105  174.28208   58   15  184.70000  165.92718  10.2%  32.6 1305s
 765886 480825  168.74195   58   18  184.70000  165.93813  10.2%  32.6 1310s
 768981 482402  169.68520   54   19  184.70000  165.95076  10.2%  32.5 1315s
 772210 484273     cutoff   81       184.70000  165.96183  10.1%  32.5 1320s
 775693 486306  167.08622   45   15  184.70000  165.97447  10.1%  32.5 1325s
 779073 488221  182.66582   58   17  184.70000  165.98673  10.1%  32.5 1330s
 782361 489993  169.87023   54   16  184.70000  165.99931  10.1%  32.5 1335s
 785656 491884  169.73073   58   18  184.70000  166.01051  10.1%  32.5 1340s
 788924 493661     cutoff   68       184.70000  166.02381  10.1%  32.5 1345s
 792116 495360     cutoff   66       184.70000  166.03696  10.1%  32.5 1350s
 795271 497088  177.48426   62   14  184.70000  166.05060  10.1%  32.5 1355s
 798553 498932  172.22482   59   20  184.70000  166.06091  10.1%  32.5 1360s
 801891 500799  169.08297   55   17  184.70000  166.07148  10.1%  32.5 1365s
 805175 502578  180.10833   66    7  184.70000  166.08303  10.1%  32.5 1370s
 808522 504407  175.74688   61   21  184.70000  166.09502  10.1%  32.4 1375s
 811865 506260     cutoff   58       184.70000  166.10661  10.1%  32.4 1380s
 815223 508087  183.66095   64   19  184.70000  166.11707  10.1%  32.4 1385s
 818666 509977  176.76086   63   15  184.70000  166.12921  10.1%  32.4 1390s
 821827 511741  171.34423   68   20  184.70000  166.13944  10.0%  32.4 1395s
