Rodando pra 1h
Optimize a model with 320 rows, 443 columns and 2308 nonzeros
Coefficient statistics:
  Matrix range    [1e+00, 1e+06]
  Objective range [2e-01, 2e-01]
  Bounds range    [1e+00, 1e+06]
  RHS range       [1e+00, 1e+01]
Presolve time: 0.01s
Presolved: 320 rows, 443 columns, 2308 nonzeros
Variable types: 274 continuous, 169 integer (169 binary)

Root relaxation: objective 0.000000e+00, 63 iterations, 0.00 seconds

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0    0.00000    0   23          -    0.00000      -     -    0s
     0     0    0.00000    0   36          -    0.00000      -     -    0s
     0     0    0.00000    0   34          -    0.00000      -     -    0s
     0     0    0.00000    0   38          -    0.00000      -     -    0s
     0     0    0.00000    0   26          -    0.00000      -     -    0s
     0     2    0.00000    0   23          -    0.00000      -     -    0s
* 1957  1246             131     528.0010560   20.46433  96.1%  16.1    1s
H 2257  1495                     493.6676540   23.28576  95.3%  16.5    2s
H 2311  1518                     435.8342050   23.28576  94.7%  16.4    2s
H 2653  1762                     407.1674810   25.50762  93.7%  17.1    2s
H 3750  2615                     379.8340930   31.28578  91.8%  16.7    3s
H 5426  3991                     373.0007460   33.31939  91.1%  17.1    4s
  6427  4826  356.00428   99   16  373.00075   34.66971  90.7%  17.0    5s
H 7710  5692                     330.6673280   37.11937  88.8%  16.6    5s
H 7953  5871                     325.5006510   37.54769  88.5%  16.5    5s
H 8358  6071                     309.5006190   37.84769  87.8%  16.5    6s
 11019  8267  212.80974   89   15  309.50062   41.91278  86.5%  17.0   10s
*12582  9504              68     305.6672780   43.83342  85.7%  17.2   11s
H14156 10595                     292.8339190   44.89553  84.7%  17.5   12s
H14469  9865                     240.1671470   44.93660  81.3%  17.6   13s
 16355 11423     cutoff   45       240.16715   45.67615  81.0%  18.2   15s
 555008 294280  177.71707   62   13  196.00039   94.74146  51.7%  41.6  990s
 557901 295666  133.97433   41   21  196.00039   94.80795  51.6%  41.6  995s
 560761 297096  149.90280   49   14  196.00039   94.85713  51.6%  41.7 1000s
 563359 298332   96.14673   36   25  196.00039   94.92207  51.6%  41.7 1005s
 565921 299501  167.46645   53   11  196.00039   94.99441  51.5%  41.7 1010s
 568902 300967  157.14086   50   16  196.00039   95.04692  51.5%  41.7 1015s
 571733 302353  103.67119   43   20  196.00039   95.09693  51.5%  41.7 1020s
 574533 303756  166.47898   51   15  196.00039   95.16968  51.4%  41.7 1025s
 577507 305268  148.40782   34   30  196.00039   95.23465  51.4%  41.7 1030s
 580345 306701  173.25175   45   28  196.00039   95.27349  51.4%  41.7 1035s
 583175 308016  120.13591   41   23  196.00039   95.33833  51.4%  41.7 1040s
 586018 309453  170.24330   44   27  196.00039   95.39318  51.3%  41.7 1045s
 588730 310604  134.23552   51   21  196.00039   95.46105  51.3%  41.7 1050s
 591461 311986  126.82957   43   24  196.00039   95.50992  51.3%  41.7 1055s
 594152 313242  159.90431   44   24  196.00039   95.57921  51.2%  41.8 1060s
 597083 314673  145.63098   55   10  196.00039   95.63845  51.2%  41.8 1065s
 599866 315965  179.09079   35   28  196.00039   95.69115  51.2%  41.8 1070s
 602724 317265  188.92133   49   23  196.00039   95.74446  51.2%  41.8 1075s
 605548 318471  100.51163   37   22  196.00039   95.78778  51.1%  41.8 1080s
 608448 319930  142.76989   37   26  196.00039   95.84281  51.1%  41.8 1085s
 611233 321380  151.32616   44   16  196.00039   95.89938  51.1%  41.8 1090s
 614252 322803  143.26151   40   20  196.00039   95.95987  51.0%  41.8 1095s
 617075 324189     cutoff   46       196.00039   96.01192  51.0%  41.8 1100s
 619930 325673  191.36409   45   23  196.00039   96.06887  51.0%  41.8 1105s
 622753 326982  183.79141   55   16  196.00039   96.12317  51.0%  41.8 1110s
 625662 328505  168.22876   67    8  196.00039   96.17994  50.9%  41.8 1115s
 628413 329847     cutoff   52       196.00039   96.22575  50.9%  41.8 1120s
 631226 331214  113.80677   35   27  196.00039   96.28691  50.9%  41.8 1125s
 633968 332572  132.80193   32   20  196.00039   96.34670  50.8%  41.8 1130s
 636752 334002  187.21216   37   21  196.00039   96.41731  50.8%  41.8 1135s
 639539 335384  195.10686   62   11  196.00039   96.47896  50.8%  41.8 1140s
 642365 336809  130.61629   44   17  196.00039   96.53214  50.7%  41.8 1145s
 645020 338044  185.64219   32   25  196.00039   96.59123  50.7%  41.8 1150s
 647722 339282  190.10711   47   16  196.00039   96.64157  50.7%  41.9 1155s
 650310 340625  165.51206   60   13  196.00039   96.69408  50.7%  41.9 1160s
 653190 342085  148.75218   41   19  196.00039   96.74081  50.6%  41.9 1165s
 656009 343453  171.11874   39   20  196.00039   96.79445  50.6%  41.9 1170s
 658642 344760     cutoff   58       196.00039   96.83915  50.6%  41.9 1175s
 661249 346003  164.64478   46   18  196.00039   96.89307  50.6%  41.9 1180s
 663750 347201  187.36627   52   13  196.00039   96.93762  50.5%  41.9 1185s
 666587 348573  145.32232   47   19  196.00039   96.98036  50.5%  41.9 1190s
 669300 349943  121.82706   48   13  196.00039   97.04671  50.5%  41.9 1195s
 671840 351101  141.45865   39   15  196.00039   97.09944  50.5%  41.9 1200s
 674482 352337  189.52211   34   22  196.00039   97.16081  50.4%  41.9 1205s
 677060 353521  168.59914   59    8  196.00039   97.22402  50.4%  41.9 1210s
 679761 354781  150.58455   44   16  196.00039   97.28297  50.4%  41.9 1215s
 682665 356234     cutoff   49       196.00039   97.32913  50.3%  41.9 1220s
 685314 357441  173.17643   44   22  196.00039   97.36612  50.3%  42.0 1225s
 688085 358800  185.31664   37   27  196.00039   97.40231  50.3%  42.0 1230s
 690774 360064  183.78225   54   16  196.00039   97.45688  50.3%  42.0 1235s
 693471 361280  183.70112   50    9  196.00039   97.52191  50.2%  42.0 1240s
 695915 362343   98.81187   39   33  196.00039   97.58380  50.2%  42.0 1245s
 699033 364104  149.40507   43   25  196.00039   97.63590  50.2%  42.0 1250s
 701793 365486  173.11117   59   12  196.00039   97.68938  50.2%  42.0 1255s
 704709 366959  178.79859   51    6  196.00039   97.73836  50.1%  42.0 1260s
 707403 368355     cutoff   63       196.00039   97.79975  50.1%  42.0 1265s
 710420 369919  145.03811   50   17  196.00039   97.84361  50.1%  42.0 1270s
 713106 371284  192.35274   60   11  196.00039   97.89600  50.1%  42.0 1275s
 715953 372584  132.74745   45   19  196.00039   97.95535  50.0%  42.0 1280s
 718643 373973  122.53839   40   13  196.00039   98.00455  50.0%  42.0 1285s
 721350 375331  117.99307   45   21  196.00039   98.04440  50.0%  42.0 1290s
 724060 376665  134.75823   34   30  196.00039   98.09649  50.0%  42.0 1295s
 726876 378130  124.13645   40   31  196.00039   98.16044  49.9%  42.0 1300s
 729607 379287     cutoff   41       196.00039   98.21335  49.9%  42.0 1305s
 732365 380671     cutoff   49       196.00039   98.26784  49.9%  42.0 1310s
 735007 381847  152.38746   55   17  196.00039   98.31655  49.8%  42.0 1315s
 737614 382974  114.91421   53   19  196.00039   98.39048  49.8%  42.0 1320s
 740537 384597  174.44165   44   29  196.00039   98.44514  49.8%  42.0 1325s
 743462 386083     cutoff   49       196.00039   98.49058  49.7%  42.0 1330s
