Executando Fernandes MODIFICADO
Rodando pra 1h
Optimize a model with 10030 rows, 14880 columns and 173046 nonzeros
Coefficient statistics:
  Matrix range    [1e+00, 1e+07]
  Objective range [3e-01, 7e-01]
  Bounds range    [1e+00, 1e+07]
  RHS range       [1e+00, 1e+02]
Found heuristic solution: objective 4996
Presolve removed 16 rows and 8 columns
Presolve time: 0.27s
Presolved: 10014 rows, 14872 columns, 98869 nonzeros
Variable types: 9900 continuous, 4972 integer (4970 binary)

Root simplex log...

Iteration    Objective       Primal Inf.    Dual Inf.      Time
   14577    3.1149038e+01   6.212915e+02   0.000000e+00      5s
   29517    3.5000687e+01   1.592853e+00   0.000000e+00     10s
   29882    3.5009161e+01   0.000000e+00   0.000000e+00     10s

Root relaxation: objective 3.500916e+01, 29882 iterations, 9.96 seconds

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

   233   134 1439.20000  181  100 3899.40000 1391.60000  64.3%  6353 1111s
   235   135 1440.88557  183   96 3899.40000 1391.60000  64.3%  6339 1116s
   238   137 1439.90000  185   94 3899.40000 1391.60000  64.3%  6333 1125s
   239   137 1442.30313  185   92 3899.40000 1391.60000  64.3%  6366 1131s
   241   138 1440.14482  187   96 3899.40000 1391.60000  64.3%  6345 1135s
   243   140 1440.60000  189   95 3899.40000 1391.60000  64.3%  6352 1147s
   244   140 1444.27217  189   92 3899.40000 1391.60000  64.3%  6394 1153s
   245   141 1440.60000  190   95 3899.40000 1391.60000  64.3%  6399 1157s
   248   143 1441.30000  193   96 3899.40000 1391.60000  64.3%  6350 1161s
   249   143 1441.32161  193   94 3899.40000 1391.60000  64.3%  6382 1169s
   250   143 1441.36782  194   93 3899.40000 1391.60000  64.3%  6380 1172s
   251   143 1445.23996  194   94 3899.40000 1391.60000  64.3%  6384 1175s
   254   146 1442.00000  197  102 3899.40000 1391.60000  64.3%  6342 1180s
   255   146 1443.15955  197   90 3899.40000 1391.60000  64.3%  6371 1186s
   260   150 1442.05095  202   92 3899.40000 1391.60000  64.3%  6302 1193s
   262   152 1442.70000  204  100 3899.40000 1391.60000  64.3%  6266 1195s
   265   155 1442.70000  207   99 3899.40000 1391.60000  64.3%  6226 1200s
   267   155 1443.24121  208   93 3899.40000 1391.60000  64.3%  6237 1208s
   269   157 1443.40000  210  101 3899.40000 1391.60000  64.3%  6212 1212s
   271   159 1443.40000  212   94 3899.40000 1391.60000  64.3%  6184 1215s
   272   159 1443.44226  213   92 3899.40000 1391.60000  64.3%  6196 1220s
   275   162 1444.10000  216   94 3899.40000 1391.60000  64.3%  6167 1226s
   276   163 1444.10000  217   90 3899.40000 1391.60000  64.3%  6170 1230s
   278   163 1445.65708  218   90 3899.40000 1391.60000  64.3%  6188 1237s
   280   165 1444.80000  220  101 3899.40000 1391.60000  64.3%  6161 1240s
   282   167 1444.80000  222   89 3899.40000 1391.60000  64.3%  6130 1259s
   283   167 1445.01580  222   91 3899.40000 1391.60000  64.3%  6144 1264s
   284   167 1445.08665  223   88 3899.40000 1391.60000  64.3%  6147 1267s
   285   167 1445.38529  223   91 3899.40000 1391.60000  64.3%  6158 1271s
   287   168 1445.67797  225   92 3899.40000 1391.60000  64.3%  6168 1280s
   288   168 1449.56220  225   86 3899.40000 1391.60000  64.3%  6202 1286s
   290   170 1446.20000  227   98 3899.40000 1391.60000  64.3%  6178 1290s
   292   172 1446.20000  229   91 3899.40000 1391.60000  64.3%  6164 1295s
   296   175 1446.90000  233   96 3899.40000 1391.60000  64.3%  6130 1304s
   297   176 1446.90000  234   96 3899.40000 1391.60000  64.3%  6119 1307s
   299   177 1447.12222  236   92 3899.40000 1391.60000  64.3%  6125 1313s
   300   177 1450.99480  236   90 3899.40000 1391.60000  64.3%  6124 1315s
   304   181 1447.60000  240   94 3899.40000 1391.60000  64.3%  6072 1320s
   307   183 1447.89742  243   92 3899.40000 1391.60000  64.3%  6040 1325s
   309   185 1448.30000  245   95 3899.40000 1391.60000  64.3%  6031 1330s
   311   186 1448.41656  247   91 3899.40000 1391.60000  64.3%  6022 1336s
   315   190 1449.00000  251   92 3899.40000 1391.60000  64.3%  5988 1344s
   316   191 1449.00000  252   91 3899.40000 1391.60000  64.3%  5974 1345s
   318   191 1449.04040  253   88 3899.40000 1391.60000  64.3%  5986 1352s
   320   193 1449.70000  255   99 3899.40000 1391.60000  64.3%  5968 1357s
   322   195 1449.70000  257   90 3899.40000 1391.60000  64.3%  5957 1361s
   326   198 1450.40000  261   93 3899.40000 1391.60000  64.3%  5916 1368s
   327   199 1450.40000  262   88 3899.40000 1391.60000  64.3%  5914 1370s
   328   199 1450.44024  263   90 3899.40000 1391.60000  64.3%  5929 1376s
   331   202 1451.10000  266   91 3899.40000 1391.60000  64.3%  5911 1383s
   332   202 1454.75174  267   90 3899.40000 1391.60000  64.3%  5913 1386s
   335   203 1455.35066  269   90 3899.40000 1391.60000  64.3%  5929 1397s
   336   203 1455.88003  269   88 3899.40000 1391.60000  64.3%  5947 1403s
   338   205 1456.00000  271   94 3899.40000 1391.60000  64.3%  5927 1407s
   341   206 1458.82666  273   89 3899.40000 1391.60000  64.3%  5922 1413s
   343   208 1456.70000  275   99 3899.40000 1391.60000  64.3%  5905 1416s
   344   208 1457.05940  275   91 3899.40000 1391.60000  64.3%  5924 1423s
   345   209 1456.70000  276   91 3899.40000 1391.60000  64.3%  5928 1427s
   347   209 1458.26703  277   89 3899.40000 1391.60000  64.3%  5927 1432s
   349   211 1457.40000  279   94 3899.40000 1391.60000  64.3%  5905 1435s
   352   214 1457.40000  282   90 3899.40000 1391.60000  64.3%  5909 1444s
   353   214 1458.11839  283   89 3899.40000 1391.60000  64.3%  5906 1446s
   356   215 1458.14781  285   90 3899.40000 1391.60000  64.3%  5896 1454s
   357   215 1460.56164  285   88 3899.40000 1391.60000  64.3%  5913 1458s
   359   217 1458.80000  287   92 3899.40000 1391.60000  64.3%  5895 1461s
   360   217 1460.02882  287   88 3899.40000 1391.60000  64.3%  5916 1466s
   362   219 1458.80000  289   93 3899.40000 1391.60000  64.3%  5905 1470s
   364   220 1459.72624  291   91 3899.40000 1391.60000  64.3%  5898 1475s
   367   222 1459.50000  293   91 3899.40000 1391.60000  64.3%  5910 1487s
   369   223 1459.56384  295   90 3899.40000 1391.60000  64.3%  5899 1491s
   371   224 1460.29459  297   85 3899.40000 1391.60000  64.3%  5913 1499s
   372   224 1460.83503  297   90 3899.40000 1391.60000  64.3%  5940 1507s
   374   226 1460.90000  299   91 3899.40000 1391.60000  64.3%  5919 1510s
   376   228 1460.90000  301   89 3899.40000 1391.60000  64.3%  5915 1515s
   378   228 1463.07077  302   87 3899.40000 1391.60000  64.3%  5918 1522s
   381   230 1463.34415  304   87 3899.40000 1391.60000  64.3%  5931 1531s
   383   230 1462.94579  305   89 3899.40000 1391.60000  64.3%  5939 1537s
   385   232 1462.30000  307   89 3899.40000 1391.60000  64.3%  5932 1542s
   386   232 1462.36840  308   87 3899.40000 1391.60000  64.3%  5931 1545s
   389   234 1463.00000  310   92 3899.40000 1391.60000  64.3%  5921 1551s
   391   235 1463.07049  312   88 3899.40000 1391.60000  64.3%  5921 1557s
   392   236 1463.00000  312   86 3899.40000 1391.60000  64.3%  5929 1561s
   393   236 1463.03452  313   89 3899.40000 1391.60000  64.3%  5938 1565s
   396   238 1463.70000  315   90 3899.40000 1391.60000  64.3%  5927 1572s
   398   240 1463.70000  317   87 3899.40000 1391.60000  64.3%  5914 1576s
   400   240 1465.84195  318   84 3899.40000 1391.60000  64.3%  5929 1582s
   402   242 1464.40000  320   89 3899.40000 1391.60000  64.3%  5918 1587s
   403   242 1466.74453  320   86 3899.40000 1391.60000  64.3%  5935 1591s
   406   244 1464.50939  323   87 3899.40000 1391.60000  64.3%  5916 1597s
   407   244 1465.46447  323   84 3899.40000 1391.60000  64.3%  5926 1600s
   410   247 1465.10000  326   87 3899.40000 1391.60000  64.3%  5908 1606s
   412   248 1465.10000  327   87 3899.40000 1391.60000  64.3%  5910 1611s
   416   250 1467.21926  331   87 3899.40000 1391.60000  64.3%  5894 1620s
   418   252 1467.90000  333   85 3899.40000 1391.60000  64.3%  5885 1627s
   420   252 1469.55511  334   85 3899.40000 1391.60000  64.3%  5874 1630s
   422   254 1468.60000  336   85 3899.40000 1391.60000  64.3%  5865 1635s
   427   258 1469.06020  341   87 3899.40000 1391.60000  64.3%  5830 1643s
   429   260 1469.30000  343   84 3899.40000 1391.60000  64.3%  5828 1649s
   430   260 1469.73940  344   86 3899.40000 1391.60000  64.3%  5820 1650s
   433   262 1470.70000  346   86 3899.40000 1391.60000  64.3%  5800 1655s
   435   263 1470.91368  348   83 3899.40000 1391.60000  64.3%  5791 1660s
   437   265 1471.40000  350   85 3899.40000 1391.60000  64.3%  5791 1667s
   439   266 1471.49624  352   82 3899.40000 1391.60000  64.3%  5781 1671s
   441   268 1472.10000  354   85 3899.40000 1391.60000  64.3%  5766 1675s
   442   269 1472.10000  354   83 3899.40000 1391.60000  64.3%  5773 1680s
   445   270 1472.80000  356   81 3899.40000 1391.60000  64.3%  5754 1685s
   447   272 1472.80000  358   80 3899.40000 1391.60000  64.3%  5751 1690s
   450   274 1473.50000  361   78 3899.40000 1391.60000  64.3%  5763 1700s
   452   275 1473.58891  363   77 3899.40000 1391.60000  64.3%  5760 1708s
   453   275 1475.26978  363   80 3899.40000 1391.60000  64.3%  5769 1712s
   455   276 1474.23644  365   79 3899.40000 1391.60000  64.3%  5765 1717s
   456   277 1474.20000  365   80 3899.40000 1391.60000  64.3%  5763 1720s
   458   279 1474.20000  367   80 3899.40000 1391.60000  64.3%  5759 1725s
   462   281 1475.60000  370   82 3899.40000 1391.60000  64.3%  5744 1734s
   463   281 1477.66089  371   77 3899.40000 1391.60000  64.3%  5747 1738s
   464   281 1486.99307  371   80 3899.40000 1391.60000  64.3%  5762 1742s
   466   282 1478.24370  373   75 3899.40000 1391.60000  64.3%  5762 1748s
   468   284 1478.40000  375   77 3899.40000 1391.60000  64.3%  5749 1751s
   470   284 1480.07274  376   76 3899.40000 1391.60000  64.3%  5757 1757s
   472   286 1479.10000  378   78 3899.40000 1391.60000  64.3%  5754 1763s
   473   286 1479.50277  379   80 3899.40000 1391.60000  64.3%  5753 1766s
   475   287 1479.80000  380   79 3899.40000 1391.60000  64.3%  5750 1770s
   476   288 1479.80000  381   80 3899.40000 1391.60000  64.3%  5754 1775s
   480   291 1480.50000  385   83 3899.40000 1391.60000  64.3%  5733 1782s
   481   291 1480.94569  386   75 3899.40000 1391.60000  64.3%  5732 1785s
   484   293 1481.20000  388   80 3899.40000 1391.60000  64.3%  5726 1796s
   487   294 1482.00703  391   78 3899.40000 1391.60000  64.3%  5727 1806s
   488   294 1483.69954  391   76 3899.40000 1391.60000  64.3%  5744 1811s
   491   297 1482.60000  394   80 3899.40000 1391.60000  64.3%  5724 1816s
   492   297 1487.35249  394   78 3899.40000 1391.60000  64.3%  5743 1820s
   494   298 1482.96169  396   77 3899.40000 1391.60000  64.3%  5739 1826s
   495   298 1483.00836  396   79 3899.40000 1391.60000  64.3%  5743 1834s
   497   300 1483.30000  398   80 3899.40000 1391.60000  64.3%  5736 1839s
   498   300 1483.35396  399   78 3899.40000 1391.60000  64.3%  5736 1842s
   500   302 1484.00000  401   82 3899.40000 1391.60000  64.3%  5724 1845s
   502   303 1484.00000  402   79 3899.40000 1391.60000  64.3%  5724 1851s
   505   305 1484.70000  405   76 3899.40000 1391.60000  64.3%  5712 1858s
   506   306 1484.70000  406   76 3899.40000 1391.60000  64.3%  5711 1860s
   508   306 1485.34482  407   75 3899.40000 1391.60000  64.3%  5712 1866s
   510   307 1485.49093  409   75 3899.40000 1391.60000  64.3%  5713 1873s
   512   309 1486.10000  411   74 3899.40000 1391.60000  64.3%  5712 1878s
   513   309 1488.24882  412   74 3899.40000 1391.60000  64.3%  5717 1882s
   514   309 1498.73547  412   72 3899.40000 1391.60000  64.3%  5726 1886s
   516   310 1489.30233  414   74 3899.40000 1391.60000  64.3%  5730 1894s
   517   310 1489.99700  414   72 3899.40000 1391.60000  64.3%  5745 1899s
   519   312 1489.60000  416   74 3899.40000 1391.60000  64.3%  5755 1909s
   520   312 1490.86889  417   74 3899.40000 1391.60000  64.3%  5760 1913s
   521   312 1491.04902  417   73 3899.40000 1391.60000  64.3%  5762 1916s
   523   313 1491.32989  419   70 3899.40000 1391.60000  64.3%  5772 1925s
   525   314 1492.73133  421   73 3899.40000 1391.60000  64.3%  5774 1933s
   526   314 1492.81548  421   73 3899.40000 1391.60000  64.3%  5797 1939s
   528   316 1493.10000  423   72 3899.40000 1391.60000  64.3%  5800 1949s
   529   316 1493.48737  424   72 3899.40000 1391.60000  64.3%  5796 1951s
   531   317 1493.80000  425   73 3899.40000 1391.60000  64.3%  5795 1957s
   532   317 1495.43732  426   72 3899.40000 1391.60000  64.3%  5808 1961s
   535   318 1498.11030  428   72 3899.40000 1391.60000  64.3%  5814 1971s
   536   318 1496.97138  428   68 3899.40000 1391.60000  64.3%  5833 1978s
   538   319 1498.43463  430   69 3899.40000 1391.60000  64.3%  5842 1987s
